Year,GDP_Growth_%,Inflation_%,Unemployment_%,Population_Billion,FDI_Billion_$,Exports_Billion_$,Imports_Billion_$,Tech_Investment_Billion_$,Leading_Sector,Policy_Focus,Economic_Outlook
2032,6.98,3.94,6.95,1.5,138.97,1020.42,852.83,126.7,AI,Make in India,Very Strong
2045,6.85,4.6,6.9,1.43,112.91,694.37,923.2,79.87,Manufacturing,Smart Cities,Positive
2040,7.71,4.95,5.33,1.55,163.03,729.95,560.02,93.39,Renewable Energy,PLI Scheme,Strong
2036,8.45,4.61,5.54,1.57,104.29,851.08,979.74,74.95,Space,Smart Cities,Positive
2033,8.16,3.73,6.06,1.48,31.71,665.13,794.5,124.0,AI,Digital Push,Very Strong
2046,7.74,4.39,5.44,1.53,146.44,853.79,1047.79,106.5,EV,Make in India,Very Strong
2032,6.7,4.99,6.84,1.54,122.55,747.5,755.68,73.51,Space,Green Energy,Strong
2044,7.05,5.74,6.35,1.5,126.42,540.75,724.58,47.95,Renewable Energy,Smart Cities,Very Strong
2048,6.94,4.06,5.11,1.44,84.94,593.95,799.23,110.75,Infrastructure,PLI Scheme,Strong
2036,6.82,4.8,5.38,1.58,108.93,709.46,890.0,78.55,EV,Make in India,Strong
2036,6.88,4.99,7.39,1.48,114.66,896.75,781.59,106.85,AI,Make in India,Very Strong
2049,6.86,3.63,7.74,1.47,104.05,642.9,900.15,95.87,Manufacturing,Digital Push,Moderate
2046,6.82,5.45,6.74,1.58,66.64,685.91,765.8,53.31,Space,PLI Scheme,Very Strong
2029,7.96,3.45,5.99,1.53,179.22,775.33,824.88,73.86,Infrastructure,Make in India,Very Strong
2033,6.36,4.77,5.76,1.51,130.9,549.75,1133.12,82.92,EV,Make in India,Positive
2049,6.62,4.41,6.75,1.45,120.51,785.83,870.02,76.48,AI,Green Energy,Very Strong
2028,5.93,4.24,6.28,1.54,142.85,564.75,881.25,92.32,Technology,Digital Push,Positive
2047,8.33,5.98,4.59,1.64,126.1,818.06,613.84,98.03,Biotech,Digital Push,Positive
2046,6.56,3.99,7.23,1.54,93.07,652.95,1009.6,125.79,AI,PLI Scheme,Very Strong
2027,7.73,3.98,7.55,1.52,141.24,636.95,969.31,99.44,Technology,Make in India,Strong
2049,7.58,5.13,6.94,1.54,131.31,782.74,719.98,119.82,Technology,Green Energy,Moderate
2037,8.26,4.73,5.11,1.48,94.02,845.28,966.54,80.46,EV,Startup India,Very Strong
2031,7.03,5.1,5.56,1.48,129.75,795.15,866.17,113.3,AI,Smart Cities,Very Strong
2027,6.44,4.28,4.34,1.48,103.99,774.92,826.5,82.38,Biotech,Digital Push,Strong
2046,5.96,4.42,7.8,1.47,115.21,776.62,1000.73,71.66,AI,Green Energy,Positive
2026,4.97,5.53,5.84,1.48,124.99,795.88,748.28,70.81,Technology,PLI Scheme,Strong
2037,7.33,3.61,8.53,1.48,144.21,803.76,718.87,37.16,Renewable Energy,Green Energy,Strong
2047,7.82,4.13,8.16,1.49,93.85,702.69,849.06,107.08,Infrastructure,Make in India,Positive
2037,7.58,4.76,5.3,1.49,119.12,828.54,893.95,64.2,Manufacturing,Smart Cities,Very Strong
2050,5.98,4.06,5.49,1.51,160.39,654.22,955.28,118.16,AI,Digital Push,Strong
2042,8.03,3.8,6.67,1.5,105.6,880.97,798.87,86.52,Infrastructure,Startup India,Strong
2035,6.64,4.63,4.45,1.51,114.91,843.89,701.03,58.9,Infrastructure,Make in India,Very Strong
2041,6.47,5.14,5.76,1.58,160.36,1011.71,1174.0,67.65,Space,Digital Push,Very Strong
2040,6.62,4.1,5.66,1.5,125.94,811.66,667.88,93.81,Renewable Energy,PLI Scheme,Moderate
2040,7.26,4.08,8.05,1.61,73.15,859.09,827.72,52.4,Infrastructure,Digital Push,Strong
2044,6.01,3.75,6.36,1.52,90.11,562.74,929.16,101.8,AI,Green Energy,Moderate
2037,7.17,3.99,5.92,1.48,127.24,863.0,981.16,59.67,EV,Smart Cities,Positive
2048,7.54,4.96,5.57,1.57,120.58,891.17,740.6,75.22,EV,Startup India,Very Strong
2045,8.09,4.26,7.09,1.5,114.06,930.57,557.51,93.97,Space,Smart Cities,Very Strong
2050,7.34,3.64,5.7,1.38,164.03,764.46,737.36,99.35,Infrastructure,Green Energy,Moderate
2028,6.13,4.38,6.15,1.5,94.56,708.97,940.59,105.95,AI,Startup India,Strong
2030,7.32,4.94,5.56,1.49,108.14,619.26,909.25,63.87,AI,Startup India,Positive
2044,6.35,3.81,4.68,1.58,60.92,630.24,913.82,83.83,Technology,Make in India,Strong
2032,6.31,3.27,5.2,1.46,139.02,746.93,919.63,111.86,Renewable Energy,Startup India,Strong
2046,6.11,5.73,5.7,1.48,90.03,539.83,1007.61,83.84,Biotech,Digital Push,Moderate
2034,5.67,3.24,5.94,1.56,136.43,657.81,711.38,95.89,Manufacturing,Smart Cities,Strong
2032,6.75,3.95,5.98,1.52,133.8,760.74,652.29,93.25,Biotech,PLI Scheme,Moderate
2043,8.1,4.36,6.11,1.49,168.73,758.06,871.87,116.02,Space,PLI Scheme,Very Strong
2029,9.01,4.01,5.71,1.46,126.23,633.67,673.21,80.68,Technology,Smart Cities,Very Strong
2050,6.74,4.15,7.55,1.52,101.1,601.94,643.47,62.2,Manufacturing,Make in India,Very Strong
2039,8.07,4.6,7.15,1.5,121.34,619.86,991.35,70.64,Biotech,Startup India,Positive
2043,6.88,2.53,6.06,1.46,91.02,723.5,855.05,93.78,AI,Green Energy,Positive
2034,5.88,3.31,6.45,1.46,117.98,1005.58,823.99,58.61,EV,Digital Push,Strong
2046,7.76,4.23,5.83,1.46,104.98,877.24,826.9,79.11,Technology,Make in India,Moderate
2027,7.39,3.92,3.36,1.45,108.24,775.7,805.14,91.51,Biotech,Startup India,Strong
2045,8.65,4.29,6.22,1.55,87.54,816.47,990.41,74.67,Space,PLI Scheme,Very Strong
2040,5.97,4.36,6.51,1.54,117.51,871.9,607.95,96.54,Infrastructure,Green Energy,Strong
2032,9.44,2.72,4.59,1.55,130.61,831.07,602.16,104.49,Space,Startup India,Strong
2037,8.47,5.09,6.7,1.5,68.7,713.01,688.91,99.1,Space,Make in India,Strong
2033,7.19,3.85,5.92,1.49,92.79,648.53,860.48,59.05,Space,Green Energy,Very Strong
2040,6.96,3.59,6.54,1.49,114.2,734.97,1072.75,91.58,Infrastructure,Green Energy,Moderate
2028,6.63,4.35,5.95,1.55,51.32,870.51,941.67,93.15,Manufacturing,Green Energy,Strong
2039,7.29,4.28,7.45,1.41,153.51,717.55,902.94,82.38,AI,Green Energy,Very Strong
2042,7.05,5.04,6.43,1.47,92.22,617.44,808.82,96.27,EV,Startup India,Positive
2029,7.61,4.39,7.2,1.46,86.55,543.19,633.45,95.55,Manufacturing,Green Energy,Moderate
2043,6.96,5.01,7.28,1.57,104.82,735.48,892.1,88.18,Biotech,Startup India,Very Strong
2033,8.33,3.54,5.08,1.48,113.43,626.92,1103.64,69.91,Biotech,Green Energy,Strong
2029,7.3,4.3,5.46,1.42,91.09,697.62,786.39,89.47,EV,Green Energy,Very Strong
2027,6.99,3.42,6.65,1.51,134.51,924.75,741.51,127.34,Biotech,Make in India,Moderate
2031,8.02,4.27,5.83,1.48,119.99,743.54,787.07,82.15,Renewable Energy,Startup India,Strong
2047,5.9,4.12,5.96,1.47,89.07,659.94,903.97,110.95,EV,PLI Scheme,Positive
2035,7.47,4.09,7.49,1.47,96.94,787.05,835.64,90.78,Infrastructure,Startup India,Positive
2029,7.22,4.1,5.89,1.47,72.08,980.51,947.4,73.99,Biotech,Smart Cities,Positive
2047,6.07,4.72,5.23,1.54,78.67,735.52,815.32,84.07,Biotech,PLI Scheme,Very Strong
2043,5.83,3.07,5.37,1.51,119.69,467.34,786.26,89.66,Technology,Make in India,Moderate
2037,8.01,3.57,8.38,1.49,89.33,828.01,852.06,103.1,Technology,Startup India,Positive
2027,7.97,4.17,6.02,1.45,155.11,791.57,744.45,137.6,Technology,Make in India,Strong
2035,7.34,3.37,4.84,1.49,111.77,760.81,1063.71,91.09,EV,PLI Scheme,Strong
2029,8.57,4.23,4.43,1.51,76.18,723.7,935.24,65.38,Infrastructure,Make in India,Strong
2039,7.55,4.16,5.58,1.51,81.42,653.13,666.04,56.91,EV,Make in India,Very Strong
2041,8.2,3.22,6.0,1.51,136.32,931.8,715.59,81.56,Space,Digital Push,Moderate
2040,7.54,3.18,7.15,1.45,108.09,529.4,899.15,67.44,AI,Startup India,Moderate
2033,6.98,2.36,7.05,1.38,134.8,712.92,845.66,101.16,Infrastructure,Make in India,Positive
2039,6.35,3.35,6.19,1.59,100.84,710.12,862.35,101.31,Infrastructure,Digital Push,Moderate
2048,6.72,4.21,5.75,1.43,95.99,852.41,793.1,87.08,Space,Digital Push,Strong
2050,6.99,4.31,6.54,1.4,137.99,898.28,883.72,103.15,EV,Green Energy,Strong
2033,8.29,4.34,4.45,1.51,88.54,722.79,796.4,91.3,EV,Green Energy,Very Strong
2046,7.82,3.66,8.18,1.41,122.23,773.16,898.87,127.35,Technology,PLI Scheme,Strong
2041,7.46,4.19,6.85,1.46,104.71,783.36,928.22,102.52,Infrastructure,Startup India,Moderate
2038,7.9,4.48,7.07,1.53,131.97,876.4,1044.94,107.91,Technology,Green Energy,Strong
2043,7.62,3.31,5.13,1.59,155.46,873.93,747.94,61.04,AI,PLI Scheme,Positive
2040,7.41,4.29,7.48,1.52,100.2,685.39,818.44,66.58,Renewable Energy,Startup India,Very Strong
2046,6.0,4.66,5.74,1.48,96.32,802.55,649.34,99.58,Technology,PLI Scheme,Very Strong
2049,8.11,3.86,5.25,1.5,126.65,795.99,1075.68,59.02,EV,Digital Push,Moderate
2050,6.83,4.94,6.16,1.41,82.95,736.09,543.43,77.51,Biotech,Digital Push,Strong
2038,8.07,3.87,6.14,1.48,150.41,794.85,1055.6,113.59,Manufacturing,Startup India,Strong
2034,8.15,3.6,5.12,1.48,146.15,752.42,833.09,77.08,Renewable Energy,PLI Scheme,Moderate
2040,6.66,4.59,5.31,1.51,85.02,768.95,878.58,65.81,AI,PLI Scheme,Moderate
2038,7.96,5.62,5.23,1.6,70.42,587.28,796.81,103.35,Biotech,Green Energy,Positive
2026,6.91,4.26,5.24,1.4,80.99,639.84,824.35,131.47,EV,Green Energy,Moderate
2050,6.92,4.64,5.81,1.48,81.37,848.13,902.33,73.83,Renewable Energy,Startup India,Strong
2032,7.41,3.84,4.81,1.41,130.04,604.73,590.87,114.48,Space,Smart Cities,Positive
2034,7.43,3.33,5.51,1.47,148.73,806.41,728.7,71.34,EV,Green Energy,Very Strong
2049,7.23,4.32,7.25,1.46,129.75,740.23,701.69,87.75,Technology,Make in India,Strong
2026,6.13,4.43,7.02,1.43,104.1,873.68,882.64,88.62,Biotech,Green Energy,Very Strong
2037,7.1,3.95,5.15,1.55,118.56,827.86,820.61,74.36,EV,Smart Cities,Very Strong
2033,9.02,4.64,7.16,1.51,88.26,695.61,906.53,107.51,Biotech,PLI Scheme,Very Strong
2049,4.97,3.74,4.23,1.54,137.43,723.21,843.07,59.21,AI,Digital Push,Strong
2036,7.9,3.57,8.63,1.47,120.8,511.74,968.2,93.9,Manufacturing,Digital Push,Very Strong
2044,8.05,4.94,7.5,1.5,129.33,734.35,716.36,111.48,Technology,PLI Scheme,Strong
2042,6.11,4.95,5.64,1.58,91.81,597.58,828.14,105.84,Technology,Digital Push,Very Strong
2033,6.82,3.76,6.58,1.5,105.79,723.76,975.31,99.82,Biotech,Green Energy,Moderate
2028,6.4,5.4,4.8,1.54,128.13,673.45,947.31,121.71,AI,Digital Push,Moderate
2028,8.68,4.0,6.26,1.47,146.09,644.8,612.85,85.61,AI,Smart Cities,Strong
2026,8.08,4.26,6.02,1.54,94.8,892.53,677.04,59.51,Renewable Energy,Smart Cities,Very Strong
2030,8.12,4.14,5.37,1.47,129.51,596.85,808.55,92.7,Manufacturing,Green Energy,Very Strong
2035,7.3,4.57,5.73,1.41,92.2,634.43,787.12,87.48,EV,PLI Scheme,Very Strong
2032,8.25,4.39,5.63,1.5,162.93,666.21,810.84,47.68,Renewable Energy,Make in India,Moderate
2034,7.19,4.38,5.07,1.48,99.63,692.27,931.47,67.5,EV,Green Energy,Very Strong
2032,8.29,3.49,5.34,1.42,126.09,644.79,860.51,64.95,EV,Digital Push,Very Strong
2034,7.08,3.02,4.76,1.51,114.14,706.9,868.68,73.71,EV,Green Energy,Strong
2033,6.66,5.0,7.06,1.46,175.13,786.26,913.89,82.98,Renewable Energy,Smart Cities,Very Strong
2037,8.65,3.82,5.27,1.65,115.75,830.38,970.38,83.74,Technology,Green Energy,Moderate
2027,7.18,4.17,4.98,1.43,97.12,824.56,392.16,74.42,AI,Green Energy,Very Strong
2026,6.48,4.43,7.04,1.44,125.99,521.02,765.87,64.92,Technology,Make in India,Moderate
2041,6.47,5.34,6.57,1.54,125.43,795.62,696.38,97.55,Manufacturing,Smart Cities,Moderate
2048,6.47,4.31,7.0,1.49,106.06,803.03,886.54,92.33,Renewable Energy,Startup India,Positive
2048,7.88,3.92,7.12,1.54,82.63,670.51,755.31,92.93,Space,Startup India,Moderate
2049,7.12,3.83,8.14,1.52,96.8,950.12,830.62,125.58,Manufacturing,Smart Cities,Positive
2030,9.04,4.17,6.04,1.47,132.04,880.52,939.3,93.26,AI,Startup India,Positive
2028,8.15,3.56,4.74,1.43,66.31,728.04,735.58,82.67,AI,Digital Push,Very Strong
2037,7.41,4.22,6.47,1.55,103.8,678.48,870.79,87.88,Infrastructure,Startup India,Positive
2033,8.32,4.16,5.53,1.44,134.87,948.17,1037.54,91.98,Manufacturing,Digital Push,Strong
2047,6.8,5.35,5.24,1.53,107.66,747.72,936.43,102.32,Space,Smart Cities,Moderate
2028,5.72,4.14,6.3,1.55,164.34,760.2,597.99,89.11,Technology,Startup India,Strong
2026,6.41,2.85,7.07,1.49,66.38,758.69,779.16,51.14,Biotech,Startup India,Positive
2028,7.32,6.07,5.36,1.48,85.97,1026.37,869.81,81.27,Space,PLI Scheme,Very Strong
2030,7.02,4.87,7.47,1.45,52.13,724.02,897.39,90.03,Manufacturing,Digital Push,Moderate
2040,7.86,5.66,5.21,1.52,159.84,747.16,784.67,116.08,Renewable Energy,Digital Push,Strong
2039,7.1,3.39,5.96,1.35,86.38,650.27,730.43,74.28,AI,Green Energy,Very Strong
2028,7.8,4.04,6.59,1.54,60.33,703.26,829.49,57.29,AI,Make in India,Positive
2026,8.4,4.67,5.81,1.51,94.7,626.23,667.84,91.29,Manufacturing,Startup India,Very Strong
2030,7.1,4.58,4.42,1.49,75.18,652.71,973.96,107.32,Space,PLI Scheme,Strong
2048,7.64,4.41,7.13,1.51,94.88,532.81,1081.62,82.13,Manufacturing,Make in India,Very Strong
2039,5.8,2.66,5.58,1.43,111.03,855.78,875.26,137.66,EV,PLI Scheme,Strong
2032,7.1,3.0,6.94,1.38,130.12,768.81,787.46,132.95,Manufacturing,Make in India,Very Strong
2034,6.21,5.26,4.94,1.52,105.63,778.69,951.73,88.55,EV,Startup India,Moderate
2040,7.32,5.39,5.11,1.57,110.63,743.71,928.07,93.73,Space,PLI Scheme,Very Strong
2040,7.39,4.13,7.06,1.41,95.46,758.61,781.42,117.37,Renewable Energy,Digital Push,Moderate
2035,7.39,5.17,6.54,1.45,72.21,944.3,813.3,88.2,Renewable Energy,Green Energy,Strong
2038,6.82,3.48,5.76,1.54,63.84,657.75,734.67,73.92,Technology,PLI Scheme,Moderate
2044,9.04,3.64,6.56,1.52,100.89,783.4,843.06,107.78,Manufacturing,Smart Cities,Very Strong
2032,6.19,3.43,5.25,1.65,112.12,782.76,861.85,99.29,Space,Startup India,Moderate
2042,6.14,3.61,6.31,1.55,99.03,887.04,710.78,73.85,Space,Startup India,Strong
2045,8.52,4.71,6.33,1.54,64.77,802.64,669.55,95.58,Technology,Smart Cities,Very Strong
2029,6.64,3.6,5.83,1.46,115.04,808.67,634.36,86.8,Biotech,Make in India,Moderate
2030,6.44,5.77,5.36,1.53,150.73,599.01,878.31,82.3,Space,Green Energy,Moderate
2048,9.04,4.52,6.27,1.57,107.13,652.93,818.39,74.28,Infrastructure,Make in India,Positive
2032,7.99,4.96,6.15,1.49,95.51,609.97,808.3,92.43,Renewable Energy,Smart Cities,Moderate
2038,6.72,4.54,5.73,1.49,108.49,452.9,885.03,84.68,AI,Smart Cities,Positive
2040,7.37,5.05,5.17,1.51,82.39,797.66,693.87,95.69,EV,Green Energy,Strong
2036,8.76,3.59,6.21,1.47,80.78,718.6,670.16,106.4,Infrastructure,Smart Cities,Positive
2029,7.75,5.21,5.74,1.51,121.29,797.89,853.75,94.63,AI,Smart Cities,Strong
2038,8.23,4.3,5.17,1.51,134.76,754.26,577.98,94.97,Infrastructure,PLI Scheme,Moderate
2032,7.84,5.05,6.24,1.57,106.32,778.85,783.74,79.18,Technology,Green Energy,Moderate
2044,7.94,3.19,7.81,1.49,60.66,910.57,1165.3,113.49,Technology,Startup India,Positive
2047,7.23,4.33,5.83,1.53,118.83,750.88,631.2,73.03,EV,Make in India,Strong
2027,7.21,4.3,7.7,1.49,161.68,830.28,759.84,57.76,Renewable Energy,Startup India,Moderate
2035,7.41,3.77,8.31,1.53,103.9,713.73,522.8,68.58,Biotech,Startup India,Positive
2038,7.79,4.42,5.25,1.49,105.55,848.97,787.28,110.69,Space,PLI Scheme,Positive
2050,6.97,5.28,6.21,1.53,88.18,601.24,1095.32,99.18,EV,Make in India,Positive
2046,7.3,3.71,8.3,1.54,122.03,529.49,885.37,116.24,Biotech,Startup India,Moderate
2031,6.95,4.87,6.08,1.45,93.23,1002.8,734.07,63.54,AI,Green Energy,Strong
2037,7.29,3.41,6.24,1.56,135.54,970.36,1125.4,136.4,Space,Make in India,Moderate
2037,6.2,5.68,4.53,1.49,93.56,516.54,576.07,84.33,Infrastructure,Digital Push,Very Strong
2045,9.28,4.75,5.67,1.48,118.54,745.67,883.55,54.79,EV,PLI Scheme,Very Strong
2036,6.61,5.41,6.76,1.46,108.84,767.99,829.09,133.92,Biotech,Startup India,Moderate
2048,6.91,4.67,8.63,1.51,148.88,836.76,785.42,63.8,Manufacturing,Smart Cities,Strong
2050,6.54,4.47,6.0,1.5,120.24,958.71,932.99,82.04,Manufacturing,Make in India,Positive
2032,7.69,4.76,4.54,1.52,144.68,622.63,654.52,85.88,Renewable Energy,Digital Push,Very Strong
2026,7.04,4.1,4.79,1.52,112.72,629.08,863.77,98.88,Biotech,Smart Cities,Very Strong
2026,6.43,3.07,6.16,1.53,105.73,749.86,845.99,74.17,EV,Digital Push,Moderate
2050,7.73,4.51,7.38,1.64,109.05,634.37,698.06,110.79,AI,Startup India,Very Strong
2050,7.83,3.67,6.84,1.5,90.71,424.3,1093.0,105.07,Manufacturing,Smart Cities,Very Strong
2045,7.15,3.43,6.66,1.46,123.29,722.73,794.54,90.38,Renewable Energy,Startup India,Positive
2038,6.67,4.65,7.51,1.4,92.74,852.91,800.59,116.49,EV,Smart Cities,Positive
2034,8.95,4.0,5.48,1.44,112.81,747.54,676.13,88.64,Renewable Energy,Make in India,Strong
2028,7.47,4.92,6.22,1.56,131.38,824.89,797.13,84.49,AI,Green Energy,Very Strong
2032,6.18,3.65,5.68,1.54,149.59,807.72,1146.87,129.96,Manufacturing,Green Energy,Strong
2031,8.33,3.87,5.93,1.43,114.07,626.76,784.62,95.91,Space,Digital Push,Strong
2033,6.52,5.01,5.19,1.62,131.53,758.16,892.62,70.29,Manufacturing,PLI Scheme,Positive
2034,9.39,4.4,5.86,1.52,128.55,566.98,953.08,72.99,Manufacturing,Smart Cities,Positive
2030,7.26,3.17,6.17,1.52,100.44,688.57,794.6,90.38,Biotech,Startup India,Moderate
2026,8.01,4.38,5.83,1.61,162.7,756.05,762.66,42.04,Technology,PLI Scheme,Positive
2044,5.54,5.24,6.04,1.59,95.59,749.86,886.12,77.34,Biotech,Make in India,Strong
2035,6.17,3.86,6.61,1.54,112.27,595.09,786.22,87.99,Manufacturing,Make in India,Very Strong
2037,8.27,4.62,7.44,1.54,146.35,619.32,773.54,86.66,Infrastructure,Make in India,Strong
2049,7.45,3.61,7.51,1.55,145.74,784.92,951.58,64.85,Technology,Green Energy,Strong
2040,8.83,4.1,6.96,1.49,110.36,849.29,810.28,81.03,Space,Startup India,Strong
2047,7.59,4.96,4.94,1.51,134.76,725.16,989.85,113.6,EV,Make in India,Positive
2049,7.32,4.35,5.84,1.53,104.4,719.16,807.13,109.46,Biotech,Make in India,Strong
2034,8.57,5.1,5.93,1.49,97.78,861.75,635.59,91.91,Technology,Digital Push,Moderate
2045,8.01,4.5,5.54,1.45,79.68,657.35,340.39,88.62,Technology,Smart Cities,Very Strong
2042,7.04,5.75,6.54,1.49,128.1,957.24,562.66,86.77,Biotech,Smart Cities,Positive
2042,6.32,3.1,4.61,1.45,130.73,588.57,586.77,94.73,Biotech,Smart Cities,Strong
2045,5.3,4.05,7.89,1.5,95.8,875.82,857.32,92.05,Technology,PLI Scheme,Moderate
2037,6.85,3.44,7.4,1.41,116.7,814.7,684.01,96.48,Renewable Energy,Digital Push,Very Strong
2032,6.25,3.49,6.68,1.52,176.27,1039.21,543.62,100.04,Space,Green Energy,Strong
2027,9.28,3.49,6.14,1.42,138.67,615.46,801.67,65.78,Infrastructure,PLI Scheme,Very Strong
2028,6.68,4.32,7.43,1.48,87.46,469.92,668.54,83.79,AI,Digital Push,Positive
2042,6.66,4.36,6.89,1.53,135.04,899.93,884.83,93.96,Manufacturing,Make in India,Positive
2030,5.98,4.5,7.31,1.54,87.58,573.44,881.36,70.68,Space,Startup India,Moderate
2042,6.99,3.41,6.14,1.53,37.62,823.89,896.17,76.52,Biotech,PLI Scheme,Positive
2049,6.67,3.97,7.99,1.52,109.49,891.86,461.84,85.64,Technology,PLI Scheme,Moderate
2042,8.59,3.52,7.37,1.44,149.08,795.57,826.36,86.62,AI,Make in India,Strong
2042,7.33,4.86,6.71,1.55,144.94,777.86,803.0,94.33,Biotech,Make in India,Very Strong
2027,7.19,3.59,7.46,1.45,119.43,798.11,648.97,73.04,Renewable Energy,Startup India,Positive
2027,7.09,4.05,5.78,1.55,96.46,850.49,520.76,109.36,AI,Smart Cities,Very Strong
2047,7.83,4.59,5.03,1.53,122.16,820.45,804.78,86.46,Technology,PLI Scheme,Very Strong
2048,6.84,3.77,6.52,1.57,103.27,604.01,968.98,92.9,Space,Digital Push,Strong
2030,7.73,4.69,6.14,1.5,97.16,969.0,458.55,82.6,EV,Green Energy,Strong
2026,8.49,5.32,6.0,1.46,136.55,756.13,703.45,94.71,Space,Make in India,Positive
2026,7.57,4.33,7.42,1.44,96.85,812.2,838.41,123.42,Space,Make in India,Strong
2044,7.0,4.83,6.37,1.44,138.18,835.32,977.49,82.42,Infrastructure,Green Energy,Very Strong
2027,6.44,2.75,6.46,1.42,95.2,888.71,776.27,79.11,AI,Digital Push,Moderate
2046,6.98,3.9,5.87,1.55,161.46,876.25,1090.34,73.4,Biotech,Make in India,Moderate
2037,7.65,4.33,7.08,1.55,68.98,765.81,568.66,88.81,Technology,Green Energy,Moderate
2031,5.97,3.46,6.9,1.53,86.08,758.1,537.63,88.58,Biotech,Make in India,Positive
2048,7.87,4.35,7.07,1.5,106.12,799.03,962.48,91.03,Technology,Smart Cities,Strong
2029,7.37,4.94,5.7,1.6,60.4,882.01,491.05,99.37,Manufacturing,Smart Cities,Strong
2048,7.08,2.88,7.5,1.5,45.73,616.49,884.61,96.84,EV,Make in India,Strong
2036,6.67,3.37,8.04,1.51,60.61,827.29,778.77,89.55,Manufacturing,Make in India,Strong
2049,6.82,4.33,7.04,1.5,102.7,643.64,693.86,129.08,Space,Smart Cities,Very Strong
2042,7.68,4.52,5.39,1.48,103.33,972.15,760.27,103.81,EV,Make in India,Moderate
2031,7.1,4.72,5.4,1.53,118.32,794.08,639.53,68.21,Infrastructure,Digital Push,Very Strong
2049,6.8,4.28,5.82,1.47,105.07,700.08,775.43,59.1,Manufacturing,Digital Push,Positive
2030,7.57,4.52,5.64,1.46,117.49,801.45,822.44,76.09,Infrastructure,Startup India,Moderate
2045,7.61,4.83,6.13,1.53,98.74,751.1,761.73,93.05,Biotech,Digital Push,Moderate
2027,6.2,3.91,6.83,1.48,127.87,730.78,738.11,74.41,Space,PLI Scheme,Very Strong
