Year,GDP_Growth_%,Inflation_%,Unemployment_%,Population_Billion,FDI_Billion_$,Exports_Billion_$,Imports_Billion_$,Tech_Investment_Billion_$,Leading_Sector,Policy_Focus,Economic_Outlook
2031,7.66,3.77,6.49,1.51,124.86,532.89,855.58,77.45,Renewable Energy,PLI Scheme,Positive
2047,9.2,4.08,6.4,1.48,101.83,627.1,1052.34,90.52,Renewable Energy,PLI Scheme,Positive
2036,7.58,4.34,5.96,1.5,123.33,733.15,782.73,83.16,EV,Make in India,Moderate
2041,5.84,3.74,6.13,1.47,105.23,547.4,934.8,49.05,EV,Make in India,Strong
2041,7.34,3.92,7.0,1.47,71.94,679.54,684.74,111.54,Manufacturing,Green Energy,Positive
2026,5.74,4.48,4.19,1.46,132.61,690.02,633.23,106.9,Renewable Energy,PLI Scheme,Very Strong
2034,9.73,4.31,6.19,1.54,87.33,656.47,883.46,64.3,AI,PLI Scheme,Positive
2031,8.99,4.07,6.49,1.51,132.35,842.68,787.31,91.14,AI,Digital Push,Moderate
2041,6.67,2.98,6.98,1.55,118.1,644.38,978.13,67.67,Biotech,Smart Cities,Strong
2028,5.4,4.2,5.19,1.55,107.89,760.61,1005.56,77.82,AI,Smart Cities,Positive
2045,6.5,3.52,5.14,1.48,63.08,707.62,937.47,99.72,Biotech,Startup India,Moderate
2029,7.06,4.89,6.78,1.54,148.49,735.74,934.43,106.2,Renewable Energy,Green Energy,Positive
2044,5.79,3.98,4.3,1.5,100.92,942.77,340.45,105.73,AI,Smart Cities,Strong
2028,7.14,3.5,7.53,1.49,125.86,771.56,882.23,94.9,Infrastructure,Startup India,Very Strong
2044,7.05,4.16,6.43,1.56,107.15,794.76,940.8,115.5,Technology,Digital Push,Moderate
2045,7.3,5.09,7.76,1.53,103.21,658.15,641.95,77.79,EV,Green Energy,Moderate
2032,7.38,4.64,5.11,1.48,114.82,825.14,821.23,82.23,Space,Green Energy,Strong
2045,6.43,4.35,5.76,1.52,110.66,820.08,674.02,38.11,Manufacturing,PLI Scheme,Moderate
2034,6.52,3.27,3.79,1.44,103.33,808.51,963.85,88.14,Biotech,Make in India,Strong
2026,7.24,5.34,5.4,1.51,108.62,604.9,686.16,101.59,Infrastructure,PLI Scheme,Moderate
2033,6.7,3.76,6.02,1.43,120.68,679.77,709.0,95.71,AI,Digital Push,Strong
2032,7.93,4.85,4.24,1.45,122.45,922.03,755.03,77.52,Space,PLI Scheme,Positive
2043,7.23,3.97,5.81,1.53,111.08,667.47,1134.92,106.89,Space,Green Energy,Positive
2033,8.69,4.79,4.21,1.37,125.52,938.4,960.65,88.52,Technology,PLI Scheme,Positive
2026,7.86,5.11,5.94,1.59,99.4,684.43,1045.76,105.33,Manufacturing,Startup India,Moderate
2036,8.08,4.65,7.35,1.54,165.62,767.79,566.16,99.72,Infrastructure,PLI Scheme,Strong
2050,7.31,4.73,6.17,1.41,147.14,727.54,642.3,118.49,Manufacturing,Smart Cities,Strong
2050,7.33,4.13,7.86,1.62,129.06,648.62,1007.4,96.79,Biotech,Digital Push,Very Strong
2043,8.59,3.9,6.99,1.63,61.46,650.35,573.58,102.2,Biotech,Digital Push,Positive
2048,6.9,4.3,7.55,1.49,125.15,665.49,725.96,88.47,EV,Green Energy,Very Strong
2035,7.64,3.96,5.44,1.45,101.58,767.77,1107.75,79.94,Renewable Energy,PLI Scheme,Positive
2028,6.99,5.93,5.41,1.58,85.53,856.85,685.11,99.81,Biotech,Green Energy,Very Strong
2032,6.99,3.51,6.55,1.48,100.95,759.98,565.06,120.05,AI,Green Energy,Positive
2041,6.26,4.9,4.62,1.51,88.3,745.99,826.65,77.68,Space,Startup India,Strong
2041,6.61,4.56,6.67,1.56,122.67,895.25,570.84,85.04,Infrastructure,Make in India,Positive
2050,6.46,4.36,5.88,1.49,150.4,754.96,993.22,90.53,Infrastructure,Green Energy,Moderate
2045,7.68,5.24,7.53,1.49,130.65,684.86,694.72,103.7,Technology,Make in India,Positive
2042,8.03,4.41,6.88,1.44,179.06,630.27,666.67,96.91,Space,Make in India,Positive
2027,7.12,3.76,7.3,1.47,71.16,902.45,824.11,108.26,Technology,Digital Push,Strong
2026,7.38,4.4,5.45,1.49,97.35,710.47,763.38,129.48,Technology,Smart Cities,Moderate
2041,7.08,4.07,7.25,1.44,86.42,680.57,855.33,77.22,Space,Smart Cities,Strong
2037,6.55,4.55,7.64,1.44,140.73,670.19,893.01,102.19,Manufacturing,PLI Scheme,Very Strong
2030,7.89,4.77,6.16,1.5,104.49,895.7,789.58,96.41,AI,Startup India,Very Strong
2030,7.72,3.6,5.46,1.41,114.74,681.24,657.4,90.38,Manufacturing,Startup India,Moderate
2048,5.69,5.04,5.48,1.46,125.84,868.86,922.27,102.12,AI,Smart Cities,Very Strong
2034,6.97,4.02,7.44,1.6,73.63,722.35,722.92,84.66,Infrastructure,PLI Scheme,Moderate
2034,6.49,4.51,8.88,1.48,94.47,604.99,698.33,96.46,Biotech,Smart Cities,Positive
2028,6.89,4.63,5.22,1.48,134.93,710.1,839.97,63.89,Biotech,PLI Scheme,Very Strong
2044,6.66,4.46,5.14,1.48,96.3,746.06,549.99,79.22,Manufacturing,PLI Scheme,Positive
2041,7.16,4.12,7.12,1.48,67.16,736.18,874.72,110.95,Manufacturing,PLI Scheme,Strong
2041,6.94,3.86,5.45,1.53,87.44,733.2,847.41,110.18,Manufacturing,PLI Scheme,Very Strong
2028,6.92,4.01,7.22,1.53,102.84,711.37,977.05,95.19,Renewable Energy,Digital Push,Strong
2045,8.09,5.3,6.67,1.48,114.17,655.8,749.95,80.94,EV,Digital Push,Strong
2049,7.65,3.59,6.18,1.49,108.23,751.29,1005.48,106.51,Space,Smart Cities,Moderate
2047,6.64,3.7,6.64,1.57,94.64,814.91,894.15,114.73,AI,PLI Scheme,Strong
2049,6.76,3.67,6.58,1.42,133.48,574.49,816.25,81.75,Biotech,Green Energy,Moderate
2026,7.59,4.3,6.02,1.5,106.77,905.89,1074.34,60.9,AI,PLI Scheme,Moderate
2049,7.59,3.13,4.44,1.51,115.24,306.41,833.33,98.98,Manufacturing,Green Energy,Moderate
2045,6.72,3.25,6.38,1.46,95.98,759.03,747.43,108.28,Renewable Energy,Digital Push,Moderate
2036,7.01,4.02,7.77,1.49,147.72,805.93,837.34,101.75,Manufacturing,PLI Scheme,Moderate
2042,8.68,3.3,4.59,1.45,100.21,677.6,744.54,121.3,AI,Make in India,Positive
2033,6.73,3.36,5.23,1.53,111.87,494.9,872.31,121.39,EV,Smart Cities,Moderate
2029,8.73,3.3,6.63,1.43,135.87,738.39,1004.9,83.89,Biotech,PLI Scheme,Very Strong
2031,8.08,3.61,6.24,1.55,117.0,770.36,818.88,93.98,EV,Startup India,Moderate
2033,8.58,4.71,6.61,1.5,116.38,612.15,832.62,80.07,Space,Green Energy,Positive
2045,6.7,4.87,5.5,1.48,60.66,650.38,931.7,69.56,Infrastructure,PLI Scheme,Very Strong
2028,7.07,5.54,7.36,1.45,127.02,865.53,986.21,70.73,Renewable Energy,Make in India,Very Strong
2041,6.84,5.52,6.25,1.55,111.39,764.12,756.63,104.34,EV,Green Energy,Positive
2050,8.1,4.75,6.9,1.47,123.54,568.96,844.13,96.06,Renewable Energy,Make in India,Very Strong
2028,6.75,4.92,6.52,1.44,114.58,803.98,932.32,107.8,Manufacturing,Smart Cities,Positive
2050,7.78,4.29,6.38,1.55,96.02,638.34,866.19,140.63,Infrastructure,Smart Cities,Strong
2043,7.74,4.56,6.83,1.45,132.36,657.03,559.31,100.0,AI,Smart Cities,Strong
2039,7.16,5.56,6.39,1.5,114.95,773.72,957.58,74.24,EV,Digital Push,Moderate
2043,8.24,4.46,5.01,1.54,77.77,762.54,893.2,110.7,EV,Make in India,Moderate
2027,7.29,5.01,7.29,1.51,142.71,701.69,903.15,73.87,Technology,PLI Scheme,Moderate
2047,7.87,3.55,7.02,1.59,74.24,689.49,653.1,124.97,Biotech,Startup India,Moderate
2028,6.8,3.73,4.09,1.46,132.52,719.9,841.33,50.57,AI,Startup India,Positive
2041,6.62,4.42,5.55,1.49,147.17,656.33,938.07,79.07,EV,Smart Cities,Strong
2034,7.78,4.3,7.24,1.49,82.34,880.68,696.72,102.44,EV,Startup India,Positive
2029,7.54,3.77,4.37,1.53,106.93,561.7,733.12,113.55,AI,Green Energy,Very Strong
2026,7.39,5.89,7.14,1.56,104.6,721.09,940.47,76.46,Infrastructure,Make in India,Very Strong
2029,6.93,4.32,6.06,1.5,105.73,574.87,726.61,72.83,Renewable Energy,Make in India,Very Strong
2026,8.44,3.89,7.54,1.49,155.76,862.32,790.81,92.97,AI,Make in India,Very Strong
2039,6.31,4.31,6.2,1.43,82.63,720.92,675.15,128.18,Renewable Energy,Green Energy,Very Strong
2046,6.26,4.22,5.48,1.51,102.34,623.2,1074.79,59.23,Infrastructure,PLI Scheme,Strong
2041,7.95,4.33,6.51,1.47,147.58,832.21,892.89,83.72,Infrastructure,Digital Push,Positive
2045,7.89,3.08,6.17,1.53,101.93,474.97,784.24,95.2,Space,Green Energy,Very Strong
2049,7.48,5.1,5.39,1.48,86.61,783.71,758.07,74.08,Manufacturing,Make in India,Moderate
2033,6.97,5.14,8.42,1.49,116.58,888.15,648.03,74.01,Technology,Make in India,Strong
2032,7.6,5.23,5.23,1.43,130.14,771.55,804.59,85.33,Infrastructure,Make in India,Moderate
2028,8.58,4.43,3.96,1.41,100.18,689.22,913.11,95.85,Space,PLI Scheme,Strong
2042,9.21,4.66,7.78,1.59,123.86,600.94,706.63,86.1,Space,Startup India,Strong
2026,5.87,3.59,5.62,1.51,75.58,879.9,834.78,119.31,Space,Digital Push,Moderate
2041,6.86,4.78,5.9,1.52,76.97,861.29,768.57,101.85,Infrastructure,Green Energy,Moderate
2037,6.81,4.38,5.84,1.45,99.0,672.56,1013.22,97.66,Renewable Energy,Make in India,Very Strong
2044,8.5,3.88,5.63,1.54,124.75,675.76,730.86,110.55,Infrastructure,Smart Cities,Moderate
2047,5.21,4.81,5.43,1.53,129.04,892.41,928.8,98.02,AI,Digital Push,Positive
2048,7.61,4.83,5.2,1.46,80.45,813.79,1015.16,81.14,Manufacturing,Smart Cities,Strong
2047,6.99,4.24,6.26,1.45,128.11,535.61,767.2,84.74,Manufacturing,Digital Push,Strong
2039,8.51,4.51,5.8,1.46,114.16,726.52,737.6,67.41,AI,Make in India,Very Strong
2031,8.4,3.48,6.93,1.5,88.02,722.09,949.18,130.1,EV,Digital Push,Strong
2031,7.49,5.07,6.68,1.51,76.65,779.72,570.63,108.61,Infrastructure,Digital Push,Moderate
2038,5.94,3.57,5.27,1.5,115.75,750.73,880.28,38.81,Biotech,Make in India,Strong
2044,6.74,3.71,6.31,1.56,142.24,688.47,599.45,116.66,Technology,PLI Scheme,Strong
2047,6.83,4.24,5.78,1.46,110.89,771.4,991.14,60.68,Space,Smart Cities,Moderate
2033,6.14,4.98,5.21,1.45,86.63,696.27,784.71,100.41,Infrastructure,PLI Scheme,Moderate
2027,8.12,4.98,6.89,1.5,63.3,1159.7,807.29,45.92,Manufacturing,Smart Cities,Strong
2046,6.04,4.2,6.08,1.42,148.24,764.73,718.61,81.44,Technology,Startup India,Positive
2026,8.77,4.74,5.79,1.53,136.05,748.24,598.42,116.82,Biotech,Smart Cities,Moderate
2040,8.77,3.02,5.34,1.5,117.55,971.14,997.22,117.93,EV,Smart Cities,Positive
2026,6.89,3.7,5.17,1.48,146.95,586.28,796.05,96.14,Renewable Energy,Digital Push,Positive
2030,7.46,3.71,8.19,1.48,115.6,736.8,1269.23,105.75,Renewable Energy,Startup India,Very Strong
2041,7.14,5.08,6.53,1.55,96.72,636.05,706.57,61.73,Biotech,Make in India,Positive
2044,7.92,4.66,5.11,1.54,123.88,826.2,729.46,100.77,Infrastructure,Make in India,Very Strong
2029,8.22,4.33,6.49,1.49,89.26,690.68,694.39,107.02,Infrastructure,Green Energy,Positive
2028,7.41,4.4,7.26,1.53,85.11,819.61,795.34,141.39,Technology,Startup India,Very Strong
2042,7.58,5.3,6.37,1.54,129.29,810.97,1040.53,77.54,Technology,Digital Push,Moderate
2042,6.7,4.08,7.57,1.52,131.39,843.64,961.42,90.33,EV,Green Energy,Strong
2037,7.55,3.28,4.66,1.49,78.16,812.94,609.36,91.56,Infrastructure,Green Energy,Strong
2039,7.33,4.96,4.21,1.52,79.08,723.12,988.58,103.97,Manufacturing,Make in India,Very Strong
2046,6.47,4.33,6.46,1.45,98.87,582.28,915.59,107.61,Renewable Energy,Smart Cities,Moderate
2031,7.19,4.87,6.48,1.5,92.22,871.09,887.39,111.22,EV,Digital Push,Very Strong
2028,6.89,4.17,2.86,1.49,121.91,919.08,724.21,109.76,Space,Startup India,Very Strong
2034,6.71,3.61,5.58,1.48,111.2,637.46,734.61,60.38,Technology,Green Energy,Moderate
2030,6.28,4.48,5.19,1.41,139.12,838.31,839.19,37.74,Space,Digital Push,Positive
2049,7.25,4.21,4.81,1.45,117.93,609.56,742.56,79.71,Manufacturing,Make in India,Positive
2042,6.58,4.33,5.19,1.48,93.89,774.41,1003.77,89.29,Infrastructure,Green Energy,Moderate
2039,6.82,5.33,6.8,1.54,62.72,799.13,736.57,77.73,AI,Green Energy,Very Strong
2046,8.06,3.43,5.18,1.51,114.49,698.85,547.45,80.81,Technology,PLI Scheme,Strong
2028,7.71,4.4,5.22,1.55,67.24,761.41,637.8,83.28,EV,Make in India,Very Strong
2026,6.42,3.63,4.58,1.56,93.58,851.78,646.69,101.55,AI,PLI Scheme,Positive
2045,7.48,2.39,7.47,1.52,91.96,736.87,783.13,69.33,Manufacturing,Make in India,Moderate
2046,7.31,4.17,6.63,1.51,97.29,668.98,850.25,88.44,Space,Make in India,Moderate
2048,8.56,4.22,3.71,1.45,77.1,603.15,827.53,88.6,Biotech,PLI Scheme,Moderate
2026,8.31,4.64,5.22,1.6,91.87,703.11,884.53,101.09,Renewable Energy,Digital Push,Positive
2028,5.97,4.05,6.73,1.43,138.65,609.03,784.68,113.24,Biotech,Digital Push,Very Strong
2043,7.89,3.16,7.48,1.51,138.58,704.71,789.63,123.68,Biotech,Digital Push,Moderate
2050,8.21,3.62,7.04,1.54,148.31,694.17,1065.26,75.08,Biotech,Smart Cities,Strong
2035,7.65,5.12,5.84,1.54,110.25,846.49,988.75,50.0,Manufacturing,Green Energy,Moderate
2047,6.93,3.61,4.27,1.44,116.78,758.82,877.16,85.16,Renewable Energy,Digital Push,Very Strong
2028,9.13,5.31,7.07,1.48,139.02,1055.67,948.33,58.23,Manufacturing,Smart Cities,Positive
2033,7.72,4.93,5.9,1.46,73.23,508.37,550.33,144.69,Biotech,Green Energy,Strong
2039,8.78,3.98,6.27,1.4,130.14,787.6,704.84,72.54,Technology,Digital Push,Strong
2049,8.28,3.69,6.02,1.51,142.56,695.81,759.49,101.28,Biotech,Make in India,Moderate
2043,7.57,4.93,4.84,1.46,87.78,635.28,706.49,108.68,Technology,Startup India,Very Strong
2040,6.74,4.03,6.56,1.58,144.57,746.43,603.6,96.81,EV,Digital Push,Moderate
2047,7.18,3.12,6.43,1.53,161.44,737.45,878.88,131.53,Biotech,Startup India,Strong
2048,7.02,4.59,5.77,1.5,129.45,879.34,1014.0,85.95,AI,Digital Push,Moderate
2027,6.23,4.49,6.67,1.48,124.86,760.95,818.21,73.3,Manufacturing,Make in India,Very Strong
2035,7.72,5.0,4.83,1.51,82.01,666.86,910.75,72.27,Biotech,Startup India,Positive
2027,8.45,4.44,5.93,1.49,136.73,790.11,814.05,105.0,Manufacturing,Smart Cities,Strong
2042,6.96,3.82,6.23,1.5,84.36,722.44,758.17,86.2,Space,Make in India,Very Strong
2033,8.93,5.09,4.47,1.6,119.24,614.94,948.69,72.27,Biotech,Startup India,Moderate
2026,5.95,5.16,6.14,1.45,121.78,720.17,620.05,98.83,AI,Startup India,Strong
2034,8.04,4.36,6.93,1.49,27.59,777.71,559.12,104.18,Biotech,PLI Scheme,Moderate
2036,8.54,4.24,5.9,1.54,120.15,758.67,618.08,95.43,Infrastructure,PLI Scheme,Moderate
2047,7.04,3.27,6.17,1.48,175.54,789.64,939.5,107.99,EV,Make in India,Positive
2041,7.05,3.77,6.76,1.58,57.7,686.82,832.21,91.76,Space,Make in India,Moderate
2032,8.03,4.73,5.81,1.53,108.65,788.11,872.72,78.13,Manufacturing,Make in India,Moderate
2035,7.6,3.81,5.9,1.46,61.32,764.41,1054.77,106.23,Space,Green Energy,Very Strong
2048,5.6,3.18,5.02,1.51,87.65,765.39,657.13,72.2,EV,Smart Cities,Moderate
2028,6.53,6.65,6.19,1.46,61.76,753.88,988.58,67.42,Manufacturing,Digital Push,Positive
2043,7.19,3.18,5.87,1.46,113.99,1011.13,764.51,113.12,Manufacturing,PLI Scheme,Moderate
2050,6.1,5.78,6.7,1.49,129.84,883.22,743.23,83.04,Infrastructure,Startup India,Moderate
2049,6.82,3.98,6.76,1.56,120.24,785.45,831.37,123.31,Biotech,PLI Scheme,Moderate
2038,6.12,4.14,6.99,1.54,86.75,653.98,853.28,107.13,Technology,Digital Push,Strong
2032,6.9,3.73,5.69,1.5,94.77,714.92,790.52,81.52,EV,Make in India,Positive
2050,6.93,4.75,4.02,1.54,116.81,943.89,905.44,99.72,AI,PLI Scheme,Strong
2029,7.48,3.19,6.94,1.51,87.53,682.45,831.93,140.57,EV,Smart Cities,Positive
2038,7.13,2.91,6.63,1.44,76.78,730.11,792.09,105.09,Biotech,Smart Cities,Positive
2045,7.6,5.33,5.56,1.49,104.02,723.43,761.72,101.63,Infrastructure,Green Energy,Very Strong
2026,7.51,3.64,6.75,1.5,86.38,794.15,853.37,78.11,Renewable Energy,PLI Scheme,Strong
2033,8.03,4.72,4.75,1.54,120.29,697.6,630.07,126.89,Space,Make in India,Positive
2039,7.9,3.44,7.23,1.47,142.47,771.22,669.58,116.36,Renewable Energy,Startup India,Positive
2041,7.81,4.7,5.87,1.45,174.94,700.28,768.56,78.29,Infrastructure,Green Energy,Very Strong
2039,9.68,5.38,5.37,1.5,118.45,907.74,896.28,127.61,Space,Make in India,Strong
2037,7.48,3.83,5.58,1.47,126.15,667.65,1120.0,93.3,Biotech,Green Energy,Moderate
2044,9.27,2.85,5.97,1.48,95.02,867.32,797.69,73.19,Infrastructure,PLI Scheme,Very Strong
2048,7.53,5.38,6.19,1.5,96.57,679.78,571.61,78.03,Technology,Digital Push,Positive
2040,7.13,4.85,6.25,1.48,142.1,647.55,709.37,107.55,EV,PLI Scheme,Strong
2027,6.9,3.87,5.77,1.55,103.09,665.9,912.24,73.33,Biotech,Make in India,Positive
2027,8.41,4.05,6.4,1.57,111.82,544.63,684.16,67.94,Space,Startup India,Very Strong
2048,8.51,3.42,6.21,1.54,140.57,802.63,637.2,81.22,EV,Startup India,Very Strong
2047,7.68,5.19,5.55,1.41,103.28,610.32,911.51,84.21,Renewable Energy,Make in India,Strong
2044,8.11,3.83,5.4,1.47,147.51,707.05,885.08,76.53,Biotech,Green Energy,Very Strong
2050,6.18,3.21,6.81,1.49,124.33,841.39,613.84,80.92,AI,Smart Cities,Very Strong
2047,5.96,4.35,6.72,1.41,121.38,837.52,694.7,108.34,EV,Make in India,Moderate
2047,8.2,3.6,6.26,1.46,93.8,578.2,994.25,95.13,Manufacturing,PLI Scheme,Positive
2042,7.1,3.48,7.12,1.49,122.73,787.27,939.4,79.69,Space,Startup India,Moderate
2045,7.8,3.9,4.24,1.48,99.27,886.86,652.37,81.44,Manufacturing,Digital Push,Moderate
2035,6.63,4.26,5.64,1.5,121.74,673.58,541.56,87.37,Technology,Startup India,Strong
2031,8.53,3.23,5.04,1.43,107.45,811.63,857.59,88.51,Space,Smart Cities,Very Strong
2040,5.97,5.17,8.46,1.48,134.17,612.81,778.55,88.6,Biotech,Startup India,Positive
2047,6.09,4.67,6.91,1.51,109.21,796.28,845.44,107.6,Space,Smart Cities,Positive
2036,8.36,3.94,6.12,1.5,160.95,765.75,908.85,93.94,Technology,Make in India,Positive
2030,5.11,3.57,6.98,1.52,103.11,829.34,686.12,94.53,Space,Startup India,Very Strong
2026,7.5,4.14,7.32,1.52,96.64,821.9,759.5,118.54,Biotech,Green Energy,Positive
2033,7.11,4.83,7.31,1.48,118.65,587.58,694.13,127.53,Renewable Energy,PLI Scheme,Positive
2046,6.61,4.72,7.12,1.51,136.95,766.39,699.15,65.38,AI,Green Energy,Very Strong
2037,7.04,4.94,5.94,1.46,136.75,924.35,899.07,58.42,AI,PLI Scheme,Strong
2037,6.52,3.86,5.7,1.49,114.17,487.76,840.17,83.01,Infrastructure,Startup India,Positive
2030,8.43,2.15,5.24,1.45,118.48,866.03,601.19,105.66,Technology,Startup India,Very Strong
2032,8.64,5.07,6.7,1.55,118.51,942.2,921.51,97.52,Biotech,PLI Scheme,Moderate
2029,6.65,4.08,6.04,1.49,83.05,571.84,770.99,111.08,EV,Digital Push,Very Strong
2031,7.42,4.67,5.78,1.55,135.6,669.52,927.96,82.15,Manufacturing,Startup India,Moderate
2038,6.14,5.37,5.73,1.52,78.55,812.13,677.94,50.87,EV,Digital Push,Very Strong
2045,8.06,5.9,7.65,1.46,83.1,643.66,690.4,62.66,Manufacturing,Digital Push,Positive
2040,8.04,3.75,7.15,1.51,111.38,913.75,855.24,101.29,Renewable Energy,PLI Scheme,Strong
2028,6.96,4.29,8.03,1.54,102.0,877.07,666.5,111.24,Manufacturing,Digital Push,Strong
2048,7.21,5.16,6.73,1.5,129.9,583.8,781.52,51.86,EV,Digital Push,Positive
2033,7.12,3.61,6.26,1.5,121.18,660.83,650.59,118.21,Space,Make in India,Moderate
2045,5.91,3.79,6.17,1.47,113.46,842.38,765.21,99.29,EV,Green Energy,Very Strong
2041,8.44,3.79,5.18,1.5,81.86,837.68,815.54,88.59,AI,Digital Push,Positive
2038,6.59,4.18,4.94,1.51,110.66,1016.21,822.14,77.46,Biotech,Green Energy,Very Strong
2043,6.59,4.05,6.71,1.47,108.69,644.41,768.94,121.82,AI,Digital Push,Positive
2035,7.08,3.78,5.27,1.45,115.55,925.11,866.67,107.94,Technology,Green Energy,Positive
2044,8.0,3.52,6.41,1.56,99.25,640.33,840.69,99.82,Space,Startup India,Very Strong
2042,6.73,4.77,7.32,1.53,123.07,810.04,807.49,75.37,EV,Startup India,Strong
2049,5.64,5.14,5.53,1.47,101.34,857.08,732.38,122.28,Space,Green Energy,Strong
2044,6.49,5.24,8.21,1.51,120.73,390.73,969.55,90.61,Space,Digital Push,Moderate
2048,7.54,3.86,5.21,1.43,129.9,859.34,874.08,95.98,Biotech,Make in India,Very Strong
2030,8.95,4.8,7.19,1.4,96.64,916.15,674.94,91.46,Renewable Energy,Green Energy,Moderate
2046,6.19,4.37,6.62,1.55,90.7,881.51,910.84,74.69,Manufacturing,Smart Cities,Positive
2048,6.16,3.8,7.39,1.51,121.91,996.4,942.57,96.39,Technology,Make in India,Moderate
2034,5.99,4.71,5.08,1.5,76.97,865.82,808.58,103.94,Infrastructure,Smart Cities,Positive
2037,5.89,3.77,8.51,1.51,137.79,685.54,817.89,81.17,Space,Green Energy,Very Strong
2046,8.16,3.94,6.02,1.66,110.27,898.68,531.76,94.68,Infrastructure,Digital Push,Very Strong
2026,8.4,3.24,6.88,1.54,107.13,678.72,701.92,91.17,Biotech,Smart Cities,Very Strong
2026,7.34,3.88,7.64,1.45,123.65,759.89,938.12,108.3,Manufacturing,Green Energy,Very Strong
2040,6.83,4.38,5.6,1.42,122.1,849.81,710.43,84.02,Manufacturing,Make in India,Moderate
2027,8.63,5.3,7.03,1.55,110.16,803.77,797.62,94.53,Biotech,Digital Push,Positive
2047,7.34,3.95,5.43,1.54,131.97,912.14,699.79,98.74,Manufacturing,Smart Cities,Strong
2041,8.07,3.47,7.6,1.53,93.19,1048.64,852.31,83.57,AI,Green Energy,Very Strong
2050,6.79,5.25,5.44,1.46,127.81,613.52,875.12,73.49,Manufacturing,Digital Push,Very Strong
2033,7.24,3.85,6.24,1.52,83.03,710.6,878.87,76.75,Infrastructure,Digital Push,Positive
2038,6.21,2.98,6.51,1.46,122.77,787.97,660.49,98.18,Manufacturing,Startup India,Strong
2046,7.7,4.29,6.98,1.53,101.8,694.42,834.94,85.29,EV,Digital Push,Very Strong
2026,7.35,3.97,8.17,1.55,77.22,740.92,1040.72,85.03,Biotech,Green Energy,Strong
2041,6.48,5.81,5.75,1.47,116.42,843.1,924.79,102.08,Renewable Energy,Make in India,Very Strong
2032,6.5,4.53,7.34,1.56,109.14,827.15,833.07,110.39,Infrastructure,PLI Scheme,Moderate
